formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom)
CeSiPt3,5,Ce1 Si1 Pt3,4.07683441,4.07683441,5.49257428,90.0,90.0,90.0,tet,P4mm,0.8595045,-6.96933383,-1.054200258,0.0,13.70513978,0.0,False,91.28976367
CeSn3Ru,40,Ce1 Sn3 Ru1,9.83108,9.83108,9.83108,90.0,90.0,90.0,cubic,Pm-3n,0.0645792,-5.96755362,-0.519540024,0.0,8.351020352,0.0053,False,950.175199
CeTiGe3,10,Ce1 Ti1 Ge3,5.88547431,6.24969541,6.249662113,119.9994634,89.99973222,89.999548,hex_,P6_3/mmc,1.8663144,-6.209606585,-0.669301495,0.0,6.771291595,0.0,False,199.0810112
ClOF3,20,Cl1 O1 F3,4.840671761,7.736365895,7.719745104,102.7205879,89.78477273,89.91727654,tri,P-1,0.0,-3.424867967,-0.918681053,0.0,2.554349159,3.6609,False,281.9998069
CoBiO3,5,Co1 Bi1 O3,3.72444997,3.72443794,4.02083227,90.0,90.0,90.0,tet,P4mm,0.0,-6.632379522,-1.458912713,0.0,9.405374547,0.0,False,55.77490557
CoCO3,10,Co1 C1 O3,5.600724049,5.600796878,5.600603551,49.09562594,49.09799842,49.0918071,trig,R-3c,5.9982556,-7.907360729,-1.666167683,0.0,4.28599732,0.0,False,92.16431121
CoNiO3,10,Co1 Ni1 O3,4.805549005,4.80584566,5.174955284,62.33176629,117.6711453,120.0070479,trig,R-3,2.000238,-6.688139231,-1.136651948,0.0,6.296421914,0.0,False,87.35959764
CoSeO3,80,Co1 Se1 O3,9.453972892,9.455632534,15.21171729,72.62075671,72.61310859,64.47336131,mono,C2/c,0.0038762,-6.405229011,-1.310586768,0.0,4.302175399,0.0,False,1147.995681
CrBO3,10,Cr1 B1 O3,5.445644799,5.445645192,5.445640516,49.79199416,49.79199045,49.79199964,trig,R-3c,6.0000002,-8.855383028,-2.620118577,0.0,4.247466036,0.0,False,86.63825815
CrGaSe3,20,Cr1 Ga1 Se3,3.76641143,10.26003063,12.49218408,90.0,90.0,90.0,ortho,Pnma,12.0000004,-5.495538904,-0.861763318,0.0,4.934049389,0.0,False,482.7416735
CrGeTe3,10,Cr1 Ge1 Te3,8.22483787,8.224837554,8.224837076,49.62885504,49.62884833,49.62884945,trig,R-3,6.0000001,-5.160704223,-0.419505622,0.0,5.675113859,0.0,False,296.9517401
CrSbS3,20,Cr1 Sb1 S3,3.64237683,8.85576533,12.90915925,90.0,90.0,90.0,ortho,Pnma,11.9999999,-6.024536981,-0.785111498,0.0,4.306111367,0.0,False,416.3982855
CrSbSe3,20,Cr1 Sb1 Se3,3.82541442,9.32794413,13.52534271,90.0,90.0,90.0,ortho,Pnma,11.9978041,-5.540308449,-0.68635182,0.0,5.651366987,0.0,False,482.6282121
CrSiTe3,10,Cr1 Si1 Te3,8.259897013,8.25989776,8.259897444,48.84663891,48.84663822,48.84664312,trig,R-3,6.0000001,-5.340600708,-0.438944072,0.0,5.242190017,0.0,False,293.2488054
Cs3AuO,10,Cs3 Au1 O1,7.85221889,7.852218079,7.08932365,90.0,90.0,119.9999991,hex_,P6_3/mmc,0.0,-3.05530406,-0.871697987,0.0,5.366422164,1.3261,False,378.5473321
